Cluster_code,URBAN_RURAC254,fidN200_A,hv270_1_poorest,hv270_2_poor,hv270_3_middle,hv270_4_rich,hv270_5_richest,household_total,mean_score270_comb_R_U,mean270_R_U_separated,median_score_comb_R_U_270,median270a_U_R_separated
TZ179,U,46020,1.00,2.00,3.00,5.00,9.00,20.00,4.00,2.00,4.00,2.00
TZ180,R,46021,6.00,6.00,8.00,1.00,0.00,21.00,2.00,3.00,2.00,3.00
TZ181,R,46022,3.00,7.00,7.00,3.00,1.00,21.00,3.00,3.00,3.00,3.00
TZ182,R,46023,0.00,11.00,6.00,2.00,1.00,20.00,3.00,3.00,2.00,3.00
TZ183,U,46024,0.00,0.00,0.00,7.00,13.00,20.00,5.00,3.00,5.00,4.00
TZ184,R,46025,4.00,12.00,2.00,3.00,0.00,21.00,2.00,3.00,2.00,2.00
TZ185,R,46026,8.00,7.00,2.00,2.00,0.00,19.00,2.00,2.00,2.00,2.00
TZ186,R,46027,6.00,7.00,5.00,2.00,0.00,20.00,2.00,3.00,2.00,3.00
TZ187,R,46028,11.00,10.00,1.00,0.00,0.00,22.00,2.00,2.00,2.00,2.00
TZ188,R,46029,3.00,5.00,7.00,5.00,0.00,20.00,3.00,3.00,3.00,4.00
TZ189,R,46030,5.00,8.00,7.00,1.00,0.00,21.00,2.00,3.00,2.00,3.00
TZ190,U,46031,1.00,1.00,5.00,9.00,5.00,21.00,4.00,2.00,4.00,2.00
TZ191,R,46032,1.00,11.00,6.00,3.00,0.00,21.00,3.00,3.00,2.00,3.00
TZ192,R,46033,1.00,8.00,12.00,0.00,0.00,21.00,3.00,3.00,3.00,4.00
TZ193,R,46034,4.00,11.00,2.00,0.00,0.00,17.00,2.00,3.00,2.00,3.00
TZ194,U,46035,2.00,3.00,7.00,9.00,1.00,22.00,3.00,1.00,3.00,1.00
TZ195,U,46036,0.00,0.00,1.00,4.00,17.00,22.00,5.00,3.00,5.00,4.00
TZ196,R,46037,7.00,8.00,4.00,3.00,0.00,22.00,2.00,3.00,2.00,3.00
TZ197,R,46038,12.00,3.00,3.00,2.00,0.00,20.00,2.00,3.00,1.00,2.00
TZ198,R,46039,9.00,4.00,7.00,1.00,0.00,21.00,2.00,2.00,2.00,2.00
TZ199,U,46040,0.00,0.00,0.00,3.00,15.00,18.00,5.00,3.00,5.00,3.00
TZ200,R,46041,3.00,4.00,4.00,5.00,0.00,16.00,3.00,3.00,3.00,3.00
TZ201,R,46042,7.00,12.00,2.00,0.00,0.00,21.00,2.00,2.00,2.00,2.00
TZ202,R,46043,16.00,3.00,2.00,0.00,0.00,21.00,1.00,2.00,1.00,1.00
TZ203,R,46044,10.00,8.00,2.00,2.00,0.00,22.00,2.00,2.00,2.00,2.00
TZ204,U,46045,1.00,0.00,1.00,5.00,13.00,20.00,4.00,3.00,5.00,3.00
TZ205,R,46046,4.00,6.00,6.00,3.00,0.00,19.00,2.00,3.00,2.00,3.00
TZ206,R,46047,7.00,7.00,7.00,1.00,0.00,22.00,2.00,3.00,2.00,2.00
