Cluster_code,URBAN_RURAC254,fidN200_A,hv270_1_poorest,hv270_2_poor,hv270_3_middle,hv270_4_rich,hv270_5_richest,household_total,mean_score270_comb_R_U,mean270_R_U_separated,median_score_comb_R_U_270,median270a_U_R_separated
TZ276,U,46117,0.00,0.00,2.00,8.00,10.00,20.00,4.00,3.00,5.00,3.00
TZ277,R,46118,15.00,4.00,1.00,2.00,0.00,22.00,2.00,2.00,1.00,1.00
TZ278,R,46119,2.00,4.00,8.00,5.00,3.00,22.00,3.00,4.00,3.00,4.00
TZ279,R,46120,12.00,4.00,5.00,0.00,0.00,21.00,2.00,2.00,1.00,2.00
TZ280,R,46121,3.00,6.00,10.00,3.00,0.00,22.00,3.00,3.00,3.00,4.00
TZ281,R,46122,1.00,8.00,8.00,4.00,0.00,21.00,3.00,3.00,3.00,3.00
TZ282,R,46123,11.00,6.00,2.00,3.00,0.00,22.00,2.00,2.00,2.00,2.00
TZ283,R,46124,13.00,6.00,1.00,1.00,0.00,21.00,2.00,2.00,1.00,1.00
TZ284,R,46125,9.00,9.00,3.00,1.00,0.00,22.00,2.00,2.00,2.00,2.00
TZ285,R,46126,19.00,3.00,0.00,0.00,0.00,22.00,1.00,2.00,1.00,2.00
TZ286,U,46127,0.00,0.00,0.00,9.00,13.00,22.00,5.00,3.00,5.00,4.00
TZ287,R,46128,10.00,8.00,3.00,0.00,0.00,21.00,2.00,2.00,2.00,2.00
TZ288,R,46129,14.00,4.00,2.00,0.00,0.00,20.00,1.00,2.00,1.00,1.00
TZ289,R,46130,14.00,6.00,1.00,0.00,0.00,21.00,1.00,1.00,1.00,1.00
TZ290,R,46131,14.00,6.00,2.00,0.00,0.00,22.00,1.00,2.00,1.00,1.00
TZ291,R,46132,1.00,5.00,3.00,10.00,2.00,21.00,3.00,4.00,4.00,5.00
TZ292,R,46133,10.00,10.00,1.00,1.00,0.00,22.00,2.00,2.00,2.00,2.00
TZ293,R,46134,2.00,12.00,4.00,3.00,0.00,21.00,2.00,3.00,2.00,3.00
TZ294,R,46135,10.00,7.00,2.00,2.00,0.00,21.00,2.00,2.00,2.00,2.00
TZ295,U,46136,0.00,0.00,0.00,8.00,12.00,20.00,5.00,3.00,5.00,3.00
TZ296,R,46137,11.00,8.00,1.00,1.00,0.00,21.00,2.00,2.00,1.00,2.00
TZ297,U,46138,0.00,0.00,2.00,12.00,8.00,22.00,4.00,2.00,4.00,2.00
TZ298,U,46139,0.00,0.00,4.00,9.00,9.00,22.00,4.00,2.00,4.00,2.00
TZ299,R,46140,0.00,7.00,9.00,6.00,0.00,22.00,3.00,4.00,3.00,4.00
TZ300,R,46141,12.00,7.00,0.00,0.00,0.00,19.00,1.00,2.00,1.00,1.00
TZ301,R,46142,16.00,4.00,2.00,0.00,0.00,22.00,1.00,2.00,1.00,1.00
TZ302,R,46143,5.00,5.00,7.00,2.00,0.00,19.00,2.00,3.00,2.00,3.00
TZ303,R,46144,14.00,5.00,3.00,0.00,0.00,22.00,2.00,2.00,1.00,1.00
TZ304,R,46145,9.00,7.00,3.00,1.00,1.00,21.00,2.00,2.00,2.00,2.00
TZ305,R,46146,7.00,6.00,6.00,2.00,0.00,21.00,2.00,3.00,2.00,3.00
TZ306,R,46147,11.00,4.00,7.00,0.00,0.00,22.00,2.00,2.00,2.00,2.00
TZ307,R,46148,3.00,8.00,3.00,6.00,1.00,21.00,3.00,3.00,2.00,3.00
TZ308,R,46149,8.00,8.00,5.00,0.00,0.00,21.00,2.00,3.00,2.00,2.00
TZ309,R,46150,9.00,5.00,7.00,0.00,0.00,21.00,2.00,2.00,2.00,2.00
TZ310,R,46151,16.00,4.00,1.00,0.00,0.00,21.00,1.00,1.00,1.00,1.00
TZ311,U,46152,1.00,0.00,4.00,13.00,3.00,21.00,4.00,2.00,4.00,2.00
TZ312,R,46153,1.00,6.00,8.00,3.00,0.00,18.00,3.00,4.00,3.00,4.00
TZ313,R,46154,3.00,1.00,6.00,9.00,2.00,21.00,3.00,4.00,4.00,5.00
TZ314,R,46155,2.00,3.00,7.00,7.00,0.00,19.00,3.00,4.00,3.00,4.00
TZ315,R,46156,1.00,3.00,12.00,4.00,0.00,20.00,3.00,4.00,3.00,4.00
TZ316,U,46157,9.00,4.00,5.00,4.00,0.00,22.00,2.00,1.00,2.00,1.00
TZ317,U,46158,0.00,1.00,7.00,12.00,1.00,21.00,4.00,2.00,4.00,2.00
TZ318,U,46159,0.00,0.00,0.00,4.00,17.00,21.00,5.00,4.00,5.00,4.00
TZ319,U,46160,0.00,1.00,2.00,12.00,6.00,21.00,4.00,2.00,4.00,2.00
TZ320,R,46161,1.00,5.00,12.00,4.00,0.00,22.00,3.00,4.00,3.00,4.00
TZ321,R,46162,5.00,6.00,5.00,6.00,0.00,22.00,3.00,3.00,3.00,3.00
TZ322,U,46163,0.00,2.00,2.00,4.00,11.00,19.00,4.00,3.00,5.00,3.00
TZ323,U,46164,0.00,0.00,0.00,6.00,14.00,20.00,5.00,3.00,5.00,3.00
TZ324,R,46165,2.00,11.00,9.00,0.00,0.00,22.00,2.00,3.00,2.00,3.00
TZ325,R,46166,10.00,6.00,3.00,1.00,0.00,20.00,2.00,2.00,2.00,2.00
TZ326,R,46167,4.00,6.00,7.00,1.00,0.00,18.00,2.00,3.00,2.00,3.00
TZ327,R,46168,0.00,10.00,9.00,3.00,0.00,22.00,3.00,4.00,3.00,3.00
TZ328,R,46169,12.00,6.00,0.00,0.00,0.00,18.00,1.00,2.00,1.00,2.00
TZ329,R,46170,2.00,6.00,7.00,5.00,0.00,20.00,3.00,4.00,3.00,4.00
TZ330,R,46171,0.00,10.00,6.00,5.00,1.00,22.00,3.00,4.00,3.00,4.00
TZ331,U,46172,0.00,0.00,1.00,7.00,13.00,21.00,5.00,3.00,5.00,3.00
TZ332,U,46173,0.00,1.00,1.00,5.00,15.00,22.00,5.00,3.00,5.00,3.00
TZ333,U,46174,0.00,0.00,0.00,0.00,20.00,20.00,5.00,5.00,5.00,5.00
TZ334,R,46175,5.00,8.00,5.00,3.00,0.00,21.00,2.00,3.00,2.00,2.00
TZ335,R,46176,8.00,7.00,4.00,1.00,0.00,20.00,2.00,2.00,2.00,2.00
TZ336,R,46177,5.00,7.00,7.00,1.00,0.00,20.00,2.00,3.00,2.00,3.00
TZ337,R,46178,10.00,6.00,1.00,0.00,0.00,17.00,1.00,2.00,1.00,2.00
TZ338,R,46179,1.00,7.00,9.00,4.00,1.00,22.00,3.00,4.00,3.00,4.00
TZ339,R,46180,1.00,4.00,11.00,5.00,0.00,21.00,3.00,4.00,3.00,4.00
TZ340,R,46181,1.00,5.00,11.00,3.00,1.00,21.00,3.00,4.00,3.00,4.00
TZ341,R,46182,6.00,11.00,5.00,0.00,0.00,22.00,2.00,2.00,2.00,2.00
TZ342,R,46183,0.00,7.00,15.00,0.00,0.00,22.00,3.00,3.00,3.00,4.00
TZ343,U,46184,0.00,1.00,1.00,12.00,7.00,21.00,4.00,2.00,4.00,2.00
TZ344,U,46185,0.00,0.00,0.00,5.00,17.00,22.00,5.00,3.00,5.00,4.00
TZ345,U,46186,0.00,0.00,1.00,11.00,8.00,20.00,4.00,3.00,4.00,2.00
TZ346,R,46187,10.00,9.00,2.00,0.00,0.00,21.00,2.00,2.00,2.00,2.00
TZ347,R,46188,12.00,4.00,5.00,1.00,0.00,22.00,2.00,2.00,1.00,2.00
TZ348,R,46189,15.00,4.00,2.00,0.00,0.00,21.00,1.00,2.00,1.00,1.00
TZ349,R,46190,8.00,7.00,5.00,2.00,0.00,22.00,2.00,3.00,2.00,2.00
TZ350,R,46191,5.00,8.00,7.00,1.00,0.00,21.00,2.00,3.00,2.00,3.00
TZ351,R,46192,12.00,10.00,0.00,0.00,0.00,22.00,1.00,2.00,1.00,2.00
TZ352,R,46193,10.00,4.00,4.00,3.00,0.00,21.00,2.00,2.00,2.00,2.00
TZ353,U,46194,0.00,0.00,0.00,8.00,11.00,19.00,5.00,3.00,5.00,3.00
TZ354,R,46195,9.00,6.00,7.00,0.00,0.00,22.00,2.00,2.00,2.00,3.00
TZ355,R,46196,12.00,6.00,4.00,0.00,0.00,22.00,2.00,2.00,1.00,2.00
TZ356,R,46197,5.00,8.00,6.00,3.00,0.00,22.00,2.00,3.00,2.00,3.00
TZ357,R,46198,3.00,6.00,5.00,6.00,0.00,20.00,3.00,3.00,3.00,4.00
TZ358,R,46199,7.00,13.00,1.00,0.00,0.00,21.00,2.00,2.00,2.00,2.00
TZ359,R,46200,9.00,7.00,3.00,0.00,0.00,19.00,2.00,2.00,2.00,2.00
TZ360,U,46201,0.00,0.00,1.00,5.00,16.00,22.00,5.00,3.00,5.00,3.00
TZ361,R,46202,3.00,2.00,3.00,13.00,0.00,21.00,3.00,4.00,4.00,5.00
TZ362,U,46203,0.00,0.00,0.00,2.00,18.00,20.00,5.00,4.00,5.00,4.00
TZ363,R,46204,4.00,6.00,4.00,7.00,0.00,21.00,3.00,3.00,3.00,4.00
TZ364,R,46205,0.00,1.00,14.00,5.00,1.00,21.00,3.00,4.00,3.00,4.00
TZ365,R,46206,0.00,14.00,7.00,1.00,0.00,22.00,2.00,3.00,2.00,3.00
TZ366,R,46207,1.00,8.00,9.00,4.00,0.00,22.00,3.00,4.00,3.00,3.00
TZ367,R,46208,0.00,5.00,7.00,6.00,2.00,20.00,3.00,4.00,3.00,4.00
TZ368,R,46209,1.00,4.00,6.00,10.00,0.00,21.00,3.00,4.00,3.00,4.00
TZ369,R,46210,3.00,8.00,4.00,4.00,0.00,19.00,2.00,3.00,2.00,3.00
TZ370,R,46211,2.00,3.00,7.00,6.00,0.00,18.00,3.00,4.00,3.00,4.00
TZ371,R,46212,9.00,7.00,4.00,0.00,0.00,20.00,2.00,2.00,2.00,2.00
TZ372,U,46213,0.00,0.00,5.00,10.00,7.00,22.00,4.00,2.00,4.00,2.00
TZ373,R,46214,0.00,4.00,12.00,4.00,0.00,20.00,3.00,4.00,3.00,4.00
TZ374,R,46215,13.00,7.00,2.00,0.00,0.00,22.00,2.00,2.00,1.00,2.00
TZ375,R,46216,7.00,7.00,5.00,1.00,0.00,20.00,2.00,2.00,2.00,2.00
TZ376,R,46217,1.00,11.00,5.00,2.00,2.00,21.00,3.00,3.00,2.00,3.00
TZ377,R,46218,7.00,12.00,1.00,1.00,0.00,21.00,2.00,2.00,2.00,2.00
TZ378,R,46219,2.00,15.00,5.00,0.00,0.00,22.00,2.00,3.00,2.00,3.00
TZ379,U,46220,0.00,0.00,2.00,13.00,7.00,22.00,4.00,2.00,4.00,2.00
TZ380,U,46221,0.00,0.00,0.00,2.00,17.00,19.00,5.00,3.00,5.00,3.00
TZ381,R,46222,0.00,2.00,9.00,8.00,2.00,21.00,3.00,4.00,3.00,4.00
TZ382,R,46223,4.00,11.00,5.00,1.00,1.00,22.00,2.00,3.00,2.00,3.00
TZ383,R,46224,1.00,8.00,7.00,6.00,0.00,22.00,3.00,4.00,3.00,4.00
TZ384,R,46225,1.00,8.00,11.00,2.00,0.00,22.00,3.00,3.00,3.00,3.00
TZ385,U,46226,0.00,0.00,6.00,11.00,3.00,20.00,4.00,2.00,4.00,1.00
TZ386,R,46227,0.00,1.00,9.00,7.00,5.00,22.00,4.00,4.00,4.00,5.00
TZ387,R,46228,6.00,5.00,5.00,2.00,0.00,18.00,2.00,3.00,2.00,3.00
TZ388,R,46229,7.00,9.00,6.00,0.00,0.00,22.00,2.00,3.00,2.00,3.00
TZ389,R,46230,1.00,8.00,9.00,2.00,0.00,20.00,3.00,3.00,3.00,4.00
TZ390,U,46231,0.00,0.00,0.00,12.00,9.00,21.00,4.00,3.00,4.00,2.00
TZ391,U,46232,0.00,0.00,0.00,5.00,17.00,22.00,5.00,3.00,5.00,4.00
TZ392,U,46233,8.00,3.00,2.00,7.00,0.00,20.00,2.00,1.00,2.00,1.00
TZ393,R,46234,6.00,10.00,4.00,2.00,0.00,22.00,2.00,3.00,2.00,2.00
TZ394,R,46235,10.00,6.00,3.00,2.00,0.00,21.00,2.00,2.00,2.00,2.00
TZ395,U,46236,13.00,3.00,1.00,2.00,0.00,19.00,2.00,1.00,1.00,1.00
TZ396,R,46237,1.00,9.00,5.00,5.00,0.00,20.00,3.00,3.00,3.00,3.00
TZ397,R,46238,2.00,10.00,7.00,2.00,0.00,21.00,2.00,3.00,2.00,3.00
TZ398,R,46239,0.00,1.00,11.00,6.00,0.00,18.00,3.00,4.00,3.00,4.00
TZ399,R,46240,0.00,2.00,8.00,9.00,0.00,19.00,3.00,4.00,3.00,4.00
TZ400,U,46241,0.00,0.00,0.00,2.00,19.00,21.00,5.00,4.00,5.00,5.00
TZ401,U,46242,0.00,0.00,0.00,2.00,19.00,21.00,5.00,4.00,5.00,4.00
TZ402,U,46243,0.00,0.00,0.00,3.00,14.00,17.00,5.00,4.00,5.00,5.00
TZ403,R,46244,8.00,9.00,4.00,0.00,0.00,21.00,2.00,2.00,2.00,2.00
TZ404,R,46245,9.00,9.00,3.00,0.00,0.00,21.00,2.00,2.00,2.00,2.00
TZ405,R,46246,4.00,5.00,11.00,2.00,0.00,22.00,3.00,3.00,3.00,4.00
TZ406,R,46247,17.00,3.00,1.00,0.00,0.00,21.00,1.00,2.00,1.00,1.00
TZ407,R,46248,0.00,2.00,5.00,6.00,7.00,20.00,4.00,5.00,4.00,5.00
TZ408,U,46249,3.00,1.00,3.00,13.00,2.00,22.00,3.00,2.00,4.00,1.00
TZ409,R,46250,8.00,6.00,6.00,2.00,0.00,22.00,2.00,3.00,2.00,3.00
TZ410,R,46251,3.00,1.00,10.00,5.00,0.00,19.00,3.00,4.00,3.00,4.00
TZ411,R,46252,13.00,8.00,1.00,0.00,0.00,22.00,1.00,2.00,1.00,1.00
TZ412,R,46253,0.00,0.00,2.00,15.00,4.00,21.00,4.00,5.00,4.00,5.00
TZ413,R,46254,0.00,3.00,13.00,5.00,0.00,21.00,3.00,4.00,3.00,4.00
TZ414,R,46255,5.00,9.00,5.00,0.00,0.00,19.00,2.00,3.00,2.00,3.00
TZ415,U,46256,0.00,0.00,0.00,2.00,17.00,19.00,5.00,4.00,5.00,3.00
TZ416,R,46257,3.00,6.00,7.00,5.00,0.00,21.00,3.00,3.00,3.00,3.00
TZ417,R,46258,0.00,1.00,8.00,11.00,2.00,22.00,4.00,5.00,4.00,5.00
TZ418,U,46259,0.00,0.00,0.00,6.00,13.00,19.00,5.00,3.00,5.00,3.00
TZ419,U,46260,0.00,1.00,3.00,4.00,12.00,20.00,4.00,3.00,5.00,4.00
TZ420,U,46261,2.00,2.00,6.00,8.00,4.00,22.00,3.00,2.00,4.00,1.00
TZ421,R,46262,7.00,7.00,4.00,3.00,0.00,21.00,2.00,3.00,2.00,2.00
TZ422,R,46263,9.00,4.00,5.00,3.00,0.00,21.00,2.00,3.00,2.00,3.00
TZ423,R,46264,7.00,6.00,3.00,6.00,0.00,22.00,2.00,3.00,2.00,3.00
TZ424,R,46265,1.00,1.00,4.00,7.00,7.00,20.00,4.00,5.00,4.00,5.00
TZ425,R,46266,11.00,6.00,4.00,1.00,0.00,22.00,2.00,2.00,2.00,2.00
TZ426,R,46267,1.00,3.00,11.00,6.00,0.00,21.00,3.00,4.00,3.00,4.00
TZ427,R,46268,7.00,6.00,4.00,4.00,0.00,21.00,2.00,3.00,2.00,3.00
TZ428,R,46269,4.00,8.00,4.00,5.00,0.00,21.00,2.00,3.00,2.00,3.00
TZ429,R,46270,1.00,3.00,8.00,9.00,1.00,22.00,3.00,4.00,3.00,4.00
TZ430,R,46271,4.00,5.00,6.00,5.00,1.00,21.00,3.00,3.00,3.00,3.00
TZ431,R,46272,11.00,5.00,6.00,0.00,0.00,22.00,2.00,2.00,2.00,2.00
TZ432,R,46273,5.00,8.00,9.00,0.00,0.00,22.00,2.00,3.00,2.00,3.00
TZ433,U,46274,1.00,1.00,2.00,9.00,9.00,22.00,4.00,3.00,4.00,2.00
TZ434,R,46275,6.00,2.00,7.00,3.00,4.00,22.00,3.00,3.00,3.00,4.00
TZ435,R,46276,20.00,0.00,1.00,1.00,0.00,22.00,1.00,1.00,1.00,1.00
TZ436,R,46277,6.00,4.00,7.00,5.00,0.00,22.00,3.00,3.00,3.00,3.00
TZ437,U,46278,10.00,4.00,2.00,4.00,1.00,21.00,2.00,1.00,2.00,1.00
TZ438,R,46279,19.00,2.00,1.00,0.00,0.00,22.00,1.00,1.00,1.00,1.00
TZ439,R,46280,13.00,1.00,1.00,3.00,0.00,18.00,2.00,2.00,1.00,1.00
TZ440,R,46281,9.00,4.00,2.00,5.00,2.00,22.00,2.00,3.00,2.00,3.00
TZ441,R,46282,22.00,0.00,0.00,0.00,0.00,22.00,1.00,1.00,1.00,1.00
TZ442,R,46283,4.00,14.00,3.00,1.00,0.00,22.00,2.00,3.00,2.00,2.00
TZ443,R,46284,8.00,7.00,4.00,2.00,0.00,21.00,2.00,2.00,2.00,2.00
TZ444,U,46285,0.00,0.00,5.00,6.00,10.00,21.00,4.00,3.00,4.00,3.00
TZ445,U,46286,0.00,0.00,0.00,5.00,14.00,19.00,5.00,3.00,5.00,3.00
TZ446,U,46287,0.00,0.00,0.00,4.00,15.00,19.00,5.00,4.00,5.00,4.00
TZ447,R,46288,1.00,2.00,11.00,8.00,0.00,22.00,3.00,4.00,3.00,4.00
TZ448,U,46289,0.00,0.00,1.00,4.00,13.00,18.00,5.00,3.00,5.00,3.00
TZ449,R,46290,0.00,6.00,13.00,2.00,0.00,21.00,3.00,4.00,3.00,4.00
TZ450,R,46291,0.00,2.00,10.00,10.00,0.00,22.00,3.00,4.00,3.00,4.00
TZ451,R,46292,3.00,2.00,5.00,11.00,0.00,21.00,3.00,4.00,4.00,5.00
TZ452,R,46293,1.00,1.00,10.00,2.00,0.00,14.00,3.00,4.00,3.00,4.00
TZ453,R,46294,0.00,3.00,7.00,10.00,0.00,20.00,3.00,4.00,4.00,5.00
TZ454,R,46295,0.00,9.00,12.00,1.00,0.00,22.00,3.00,3.00,3.00,3.00
TZ455,R,46296,5.00,7.00,2.00,8.00,0.00,22.00,3.00,3.00,2.00,3.00
TZ456,R,46297,0.00,8.00,8.00,5.00,0.00,21.00,3.00,4.00,3.00,4.00
TZ457,R,46298,3.00,4.00,4.00,11.00,0.00,22.00,3.00,4.00,4.00,5.00
TZ458,R,46299,3.00,5.00,7.00,4.00,0.00,19.00,3.00,3.00,3.00,3.00
TZ459,U,46300,0.00,1.00,2.00,15.00,2.00,20.00,4.00,2.00,4.00,1.00
TZ460,R,46301,2.00,2.00,9.00,6.00,2.00,21.00,3.00,4.00,3.00,4.00
TZ461,R,46302,0.00,2.00,7.00,10.00,0.00,19.00,3.00,4.00,4.00,5.00
TZ462,R,46303,10.00,10.00,1.00,1.00,0.00,22.00,2.00,2.00,2.00,2.00
TZ463,U,46304,0.00,0.00,0.00,5.00,14.00,19.00,5.00,3.00,5.00,4.00
TZ464,U,46305,0.00,0.00,0.00,11.00,9.00,20.00,4.00,2.00,4.00,2.00
TZ465,R,46306,7.00,5.00,8.00,2.00,0.00,22.00,2.00,3.00,2.00,3.00
TZ466,R,46307,4.00,2.00,7.00,5.00,1.00,19.00,3.00,3.00,3.00,4.00
TZ467,U,46308,0.00,1.00,1.00,8.00,7.00,17.00,4.00,2.00,4.00,3.00
TZ468,U,46309,0.00,0.00,0.00,4.00,15.00,19.00,5.00,3.00,5.00,3.00
TZ469,U,46310,1.00,1.00,3.00,9.00,2.00,16.00,4.00,2.00,4.00,1.00
TZ470,U,46311,0.00,0.00,1.00,5.00,15.00,21.00,5.00,3.00,5.00,3.00
TZ471,U,46312,0.00,1.00,4.00,14.00,2.00,21.00,4.00,2.00,4.00,2.00
TZ472,R,46313,10.00,5.00,1.00,0.00,0.00,16.00,1.00,2.00,1.00,1.00
TZ473,R,46314,3.00,6.00,7.00,4.00,0.00,20.00,3.00,3.00,3.00,3.00
TZ474,R,46315,4.00,6.00,9.00,2.00,0.00,21.00,2.00,3.00,3.00,3.00
TZ475,R,46316,5.00,4.00,11.00,0.00,0.00,20.00,2.00,3.00,3.00,4.00
TZ476,U,46317,1.00,0.00,3.00,15.00,2.00,21.00,4.00,2.00,4.00,2.00
TZ477,R,46318,3.00,5.00,9.00,0.00,0.00,17.00,2.00,3.00,3.00,3.00
TZ478,R,46319,15.00,3.00,1.00,1.00,0.00,20.00,1.00,2.00,1.00,1.00
TZ479,R,46320,11.00,6.00,3.00,1.00,0.00,21.00,2.00,2.00,1.00,2.00
TZ480,R,46321,2.00,3.00,2.00,11.00,0.00,18.00,3.00,4.00,4.00,5.00
TZ481,R,46322,11.00,6.00,4.00,0.00,0.00,21.00,2.00,2.00,1.00,2.00
TZ482,R,46323,2.00,0.00,3.00,13.00,1.00,19.00,4.00,4.00,4.00,5.00
TZ483,R,46324,5.00,5.00,7.00,1.00,3.00,21.00,3.00,3.00,3.00,3.00
TZ484,R,46325,6.00,5.00,6.00,2.00,0.00,19.00,2.00,3.00,2.00,2.00
TZ485,R,46326,9.00,5.00,0.00,0.00,0.00,14.00,1.00,2.00,1.00,2.00
TZ486,R,46327,8.00,8.00,1.00,3.00,0.00,20.00,2.00,3.00,2.00,2.00
TZ487,R,46328,8.00,9.00,3.00,0.00,0.00,20.00,2.00,2.00,2.00,2.00
TZ488,R,46329,7.00,10.00,4.00,1.00,0.00,22.00,2.00,3.00,2.00,2.00
TZ489,R,46330,5.00,10.00,5.00,1.00,0.00,21.00,2.00,3.00,2.00,3.00
TZ490,R,46331,3.00,5.00,9.00,3.00,1.00,21.00,3.00,3.00,3.00,4.00
TZ491,R,46332,0.00,1.00,7.00,10.00,2.00,20.00,4.00,5.00,4.00,5.00
TZ492,R,46333,4.00,12.00,5.00,0.00,0.00,21.00,2.00,3.00,2.00,2.00
TZ493,R,46334,3.00,8.00,8.00,0.00,0.00,19.00,2.00,3.00,2.00,3.00
TZ494,U,46335,11.00,5.00,4.00,1.00,0.00,21.00,2.00,1.00,1.00,1.00
TZ495,R,46336,6.00,12.00,4.00,0.00,0.00,22.00,2.00,2.00,2.00,2.00
TZ496,R,46337,18.00,3.00,0.00,1.00,0.00,22.00,1.00,1.00,1.00,1.00
TZ497,R,46338,6.00,15.00,1.00,0.00,0.00,22.00,2.00,2.00,2.00,2.00
TZ498,R,46339,16.00,4.00,1.00,1.00,0.00,22.00,1.00,2.00,1.00,1.00
TZ499,R,46340,9.00,8.00,3.00,0.00,0.00,20.00,2.00,2.00,2.00,2.00
TZ500,R,46341,4.00,3.00,3.00,4.00,7.00,21.00,3.00,4.00,4.00,5.00
TZ501,R,46342,20.00,1.00,1.00,0.00,0.00,22.00,1.00,1.00,1.00,1.00
TZ502,R,46343,4.00,9.00,5.00,3.00,1.00,22.00,2.00,3.00,2.00,3.00
TZ503,R,46344,2.00,4.00,8.00,6.00,2.00,22.00,3.00,4.00,3.00,4.00
TZ504,R,46345,2.00,8.00,7.00,2.00,0.00,19.00,2.00,3.00,2.00,3.00
TZ505,U,46346,0.00,0.00,3.00,10.00,7.00,20.00,4.00,2.00,4.00,2.00
TZ506,R,46347,10.00,7.00,3.00,1.00,0.00,21.00,2.00,2.00,2.00,2.00
TZ507,R,46348,2.00,5.00,14.00,0.00,0.00,21.00,3.00,3.00,3.00,3.00
TZ508,U,46349,3.00,2.00,6.00,9.00,0.00,20.00,3.00,1.00,3.00,1.00
TZ509,R,46350,2.00,3.00,11.00,4.00,0.00,20.00,3.00,4.00,3.00,4.00
TZ510,R,46351,7.00,5.00,6.00,2.00,0.00,20.00,2.00,3.00,2.00,3.00
TZ511,R,46352,9.00,7.00,4.00,2.00,0.00,22.00,2.00,2.00,2.00,2.00
TZ512,R,46353,2.00,6.00,9.00,1.00,0.00,18.00,3.00,3.00,3.00,3.00
TZ513,R,46354,0.00,0.00,2.00,16.00,1.00,19.00,4.00,5.00,4.00,5.00
TZ514,U,46355,0.00,0.00,0.00,7.00,14.00,21.00,5.00,3.00,5.00,3.00
TZ515,R,46356,3.00,7.00,7.00,4.00,0.00,21.00,3.00,3.00,3.00,4.00
TZ516,U,46357,0.00,0.00,2.00,16.00,2.00,20.00,4.00,2.00,4.00,2.00
TZ517,R,46358,6.00,12.00,3.00,0.00,0.00,21.00,2.00,2.00,2.00,2.00
TZ518,R,46359,7.00,7.00,5.00,3.00,0.00,22.00,2.00,3.00,2.00,3.00
TZ519,R,46360,0.00,4.00,10.00,8.00,0.00,22.00,3.00,4.00,3.00,4.00
TZ520,U,46361,1.00,1.00,5.00,10.00,1.00,18.00,4.00,2.00,4.00,1.00
TZ521,R,46362,9.00,8.00,2.00,2.00,0.00,21.00,2.00,2.00,2.00,2.00
TZ522,R,46363,6.00,9.00,4.00,2.00,0.00,21.00,2.00,2.00,2.00,2.00
TZ523,U,46364,1.00,1.00,3.00,7.00,10.00,22.00,4.00,2.00,4.00,2.00
TZ524,R,46365,8.00,6.00,8.00,0.00,0.00,22.00,2.00,3.00,2.00,3.00
TZ525,R,46366,9.00,8.00,2.00,1.00,0.00,20.00,2.00,2.00,2.00,2.00
TZ526,R,46367,7.00,7.00,5.00,2.00,0.00,21.00,2.00,3.00,2.00,2.00
TZ527,R,46368,0.00,1.00,8.00,9.00,1.00,19.00,4.00,4.00,4.00,5.00
TZ528,R,46369,0.00,0.00,1.00,18.00,3.00,22.00,4.00,5.00,4.00,5.00
TZ529,R,46370,0.00,0.00,8.00,13.00,0.00,21.00,4.00,5.00,4.00,5.00
TZ530,R,46371,0.00,0.00,3.00,17.00,1.00,21.00,4.00,5.00,4.00,5.00
TZ531,U,46372,0.00,0.00,3.00,12.00,7.00,22.00,4.00,2.00,4.00,2.00
TZ532,R,46373,1.00,0.00,1.00,15.00,5.00,22.00,4.00,5.00,4.00,5.00
TZ533,R,46374,0.00,1.00,7.00,13.00,1.00,22.00,4.00,5.00,4.00,5.00
TZ534,R,46375,1.00,2.00,10.00,8.00,1.00,22.00,3.00,4.00,3.00,4.00
TZ535,R,46376,0.00,2.00,5.00,13.00,2.00,22.00,4.00,5.00,4.00,5.00
TZ536,R,46377,1.00,2.00,5.00,13.00,1.00,22.00,4.00,4.00,4.00,5.00
TZ537,R,46378,0.00,1.00,3.00,11.00,7.00,22.00,4.00,5.00,4.00,5.00
TZ538,U,46379,0.00,1.00,0.00,7.00,14.00,22.00,5.00,3.00,5.00,3.00
TZ539,R,46380,0.00,0.00,4.00,14.00,4.00,22.00,4.00,5.00,4.00,5.00
TZ540,R,46381,1.00,5.00,5.00,8.00,3.00,22.00,3.00,4.00,4.00,5.00
TZ541,R,46382,0.00,1.00,7.00,13.00,1.00,22.00,4.00,4.00,4.00,5.00
TZ542,R,46383,0.00,0.00,5.00,15.00,1.00,21.00,4.00,5.00,4.00,5.00
TZ543,R,46384,0.00,1.00,6.00,14.00,1.00,22.00,4.00,5.00,4.00,5.00
TZ544,R,46385,0.00,2.00,5.00,14.00,0.00,21.00,4.00,4.00,4.00,5.00
TZ545,U,46386,0.00,1.00,1.00,7.00,12.00,21.00,4.00,3.00,5.00,3.00
TZ546,R,46387,0.00,0.00,1.00,14.00,7.00,22.00,4.00,5.00,4.00,5.00
TZ547,R,46388,0.00,3.00,3.00,10.00,6.00,22.00,4.00,5.00,4.00,5.00
TZ548,R,46389,0.00,0.00,0.00,14.00,8.00,22.00,4.00,5.00,4.00,5.00
TZ549,R,46390,0.00,0.00,0.00,5.00,16.00,21.00,5.00,5.00,5.00,5.00
TZ550,R,46391,0.00,1.00,7.00,13.00,0.00,21.00,4.00,4.00,4.00,5.00
TZ551,R,46392,0.00,2.00,4.00,11.00,5.00,22.00,4.00,5.00,4.00,5.00
TZ552,R,46393,0.00,0.00,4.00,14.00,4.00,22.00,4.00,5.00,4.00,5.00
